# Using IANA database (Olson / TzDatabase) to work with timezones since .NET implementation does not give accurate results.
# Mapping of Windows Time Zones to the used IANA identifiers is done automatically, any custom mapping needs to be done here
# Custom mapping  to the IANA identifier are listed here
1	Etc/GMT+12
2	Pacific/Apia
3	Pacific/Honolulu
4	America/Anchorage
5	America/Los_Angeles
6	America/Phoenix
8	America/Denver
9	America/Guatemala
10	America/Chicago
12	America/Regina
13	America/Bogota
14	America/New_York
15	America/Indiana/Indianapolis
16	America/Halifax
17	America/La_Paz
18	America/Santiago
19	America/St_Johns
20	America/Sao_Paulo
21	America/Cayenne
22	America/Godthab
23	Etc/GMT+2
24	Atlantic/Azores
25	Atlantic/Cape_Verde
26	Etc/UTC
27	Europe/London
28	Europe/Berlin
29	Europe/Budapest
30	Europe/Paris
31	Europe/Warsaw
32	Africa/Lagos
33	Europe/Bucharest
34	Europe/Chisinau
35	Africa/Cairo
36	Africa/Johannesburg
37	Europe/Kiev
38	Asia/Jerusalem
39	Asia/Baghdad
40	Asia/Riyadh
41	Europe/Moscow
42	Africa/Nairobi
43	Asia/Tehran
44	Asia/Dubai
45	Asia/Yerevan
46	Asia/Kabul
47	Asia/Yekaterinburg
48	Asia/Tashkent
49	Asia/Kolkata
50	Asia/Kathmandu
51	Asia/Novosibirsk
52	Asia/Almaty
53	Asia/Colombo
54	Asia/Yangon
55	Asia/Bangkok
56	Asia/Krasnoyarsk
57	Asia/Shanghai
58	Asia/Irkutsk
59	Asia/Singapore
60	Australia/Perth
61	Asia/Taipei
62	Asia/Tokyo
63	Asia/Seoul
64	Asia/Yakutsk
65	Australia/Adelaide
66	Australia/Darwin
67	Australia/Brisbane
68	Australia/Sydney
69	Pacific/Port_Moresby
70	Australia/Hobart
71	Asia/Vladivostok
72	Pacific/Guadalcanal
73	Pacific/Auckland
74	Pacific/Fiji
75	Pacific/Tongatapu
76	Etc/GMT+11
77	America/Tijuana
78	America/Chihuahua
79	America/Mexico_City
80	America/Caracas
81	America/Asuncion
82	America/Cuiaba
83	America/Argentina/Buenos_Aires
84	America/Montevideo
85	Etc/GMT+2
86	Africa/Casablanca
87	Etc/UTC
88	Asia/Amman
89	Asia/Beirut
90	Asia/Damascus
92	Africa/Windhoek
93	Asia/Baku
94	Indian/Mauritius
95	Asia/Tbilisi
97	Asia/Karachi
98	Asia/Dhaka
100	Asia/Ulaanbaatar
101	Etc/GMT-12
102	Asia/Kamchatka
103	America/Bahia
104	Europe/Istanbul
105	Europe/Kaliningrad
106	Asia/Vladivostok
107	Europe/Samara
108	Asia/Srednekolymsk
109	Australia/Eucla
ACST	Australia/Adelaide
ACT	Australia/Darwin
AEST	Australia/Brisbane
AET	Australia/Sydney
AGT	America/Cayenne
AKST	America/Anchorage
ALMT	Asia/Almaty
AMT	America/Cuiaba
ART	America/Argentina/Buenos_Aires
AST	America/Halifax
AWST	Australia/Perth
AZOT	Atlantic/Azores
AZT	Asia/Baku
BRT	America/Bahia
BRT-BRST	America/Sao_Paulo
BST	Asia/Dhaka
CDT	America/Mexico_City
CET	Europe/Paris
CNT	America/St_Johns
COT	America/Bogota
CST	America/Chicago
CTT	Asia/Shanghai
CVT	Atlantic/Cape_Verde
EAT	Asia/Baghdad
EEST	Europe/Istanbul
EET	Europe/Chisinau
KALT	Europe/Kaliningrad
EST	America/New_York
GET	Asia/Tbilisi
GMT	Europe/London
GST	Asia/Dubai
HST	Pacific/Honolulu
IET	America/Indiana/Indianapolis
IRKT	Asia/Irkutsk
IsraelST	Asia/Jerusalem
IST	Asia/Kolkata
JST	Asia/Tokyo
KRAT	Asia/Krasnoyarsk
KST	Asia/Seoul
MET	Asia/Tehran
MIT	Pacific/Apia
MMT	Asia/Yangon
MSK	Europe/Moscow
MST	America/Denver
MUT	Indian/Mauritius
MYT	Asia/Singapore
NET	Asia/Yerevan
NOVT	Asia/Omsk
OMST	Asia/Omsk
NPT	Asia/Kathmandu
NST	Pacific/Fiji
NZST	Pacific/Auckland
PETT	Asia/Kamchatka
PKT	Asia/Karachi
PNT	America/Phoenix
PRT	America/Santiago
PST	America/Los_Angeles
PYT	America/Asuncion
SGT	Asia/Singapore
SAMT	Europe/Samara
SRET	Asia/Srednekolymsk
SST	Pacific/Guadalcanal
ULAT	Asia/Ulaanbaatar
UTC+7	Asia/Bangkok
UYT	America/Montevideo
VET	America/Caracas
VLAT	Asia/Vladivostok
WAST	Asia/Tashkent
WAT	Africa/Windhoek
WET	Africa/Casablanca
YAKT	Asia/Yakutsk
YEKT	Asia/Yekaterinburg
