Start Date	Start Time	End Date	End Time	Time Zone
01/08/2013	07:00:00	01/11/2013	14:00:00	IST
01/19/2010	24:00:00	01/22/2010	17:00:00	MST
01/21/2013	25:00:00	01/22/2013	02:00:00	GMT
01/27/2009	02:00:00	01/30/2009	09:00:00	GMT
01/28/2008	09:00:00	02/01/2008	17:00:00	MST
02/02/2010	09:00:00	02/04/2010	17:00:00	MST
02/02/2010	09:00:00	02/05/2010	17:00:00	MST
02/05/2013	07:00:00	02/08/2013	14:00:00	EST
02/07/2005	09:00:00	02/11/2005	17:00:00	MST
02/07/2012	07:00:00	02/10/2012	15:00:00	EST
02/08/2013	10:00:00	02/08/2013	14:00:00	PST
02/09/2010	09:00:00	02/12/2010	17:00:00	MST
02/09/2013	10:00:00	02/09/2013	14:00:00	PST
02/13/2012	07:00:00	02/15/2012	15:00:00	EST
02/13/2012	18:00:00	02/17/2012	02:00:00	SST
02/14/2005	09:00:00	02/18/2005	17:00:00	MST
02/16/2010	09:00:00	02/19/2010	17:00:00	MST
02/20/2012	18:00:00	02/24/2012	02:00:00	SST
02/21/2012	02:00:00	02/24/2012	10:00:00	GMT
02/22/2010	09:00:00	02/25/2010	17:00:00	MST
02/22/2011	02:00:00	02/25/2011	09:00:00	GMT
02/24/2003	09:00:00	02/28/2003	17:00:00	MST
02/26/2013	07:00:00	02/26/2013	11:00:00	EST
02/26/2013	07:00:00	03/01/2013	14:00:00	EST
02/27/2013	07:00:00	02/27/2013	11:00:00	EST
02/28/2012	07:00:00	03/02/2012	15:00:00	EST
02/28/2013	07:00:00	02/28/2013	11:00:00	EST
03/03/2003	09:00:00	03/07/2003	17:00:00	MST
03/04/2013	02:00:00	03/07/2013	10:00:00	GMT
03/08/2004	09:00:00	03/12/2004	17:00:00	MST
03/10/2003	09:00:00	03/14/2003	17:00:00	MST
03/10/2008	09:00:00	03/14/2008	17:00:00	MST
03/12/2013	03:00:00	03/15/2013	11:00:00	GMT
03/13/2012	03:00:00	03/16/2012	10:00:00	GMT
03/15/2004	09:00:00	03/19/2004	05:00:00	MST
03/15/2011	03:00:00	03/18/2011	11:00:00	GMT
03/15/2011	07:00:00	03/18/2011	15:00:00	EST
03/16/2010	09:00:00	03/19/2010	17:00:00	MST
03/17/2003	09:00:00	03/21/2003	17:00:00	MST
03/19/2012	03:00:00	03/22/2012	10:00:00	GMT
03/20/2012	03:00:00	03/23/2012	11:00:00	GMT
03/21/2011	03:00:00	03/24/2011	11:00:00	GMT
03/23/2010	09:00:00	03/26/2010	17:00:00	MST
03/23/2013	23:00:00	03/24/2013	07:00:00	AST
03/24/2009	09:00:00	03/27/2009	17:00:00	MST
03/26/2013	07:00:00	03/29/2013	14:00:00	EST
03/27/2012	02:00:00	03/30/2012	10:00:00	GMT
03/27/2012	07:00:00	03/30/2012	15:00:00	EST
03/30/2010	09:00:00	04/02/2010	17:00:00	MST
03/30/2010	09:00:00	04/02/2010	17:00:00	MST
03/31/2003	09:00:00	04/04/2003	17:00:00	MST
04/05/2011	02:00:00	04/08/2011	10:00:00	GMT
04/08/2013	02:00:00	04/12/2013	09:00:00	GMT
04/08/2013	19:00:00	04/09/2013	03:00:00	CST
04/10/2011	23:00:00	04/14/2011	07:00:00	AST
04/10/2012	19:00:00	04/13/2012	03:00:00	CST
04/11/2005	09:00:00	04/15/2005	17:00:00	MST
04/11/2011	02:00:00	04/14/2011	10:00:00	GMT
04/12/2011	02:00:00	04/15/2011	09:00:00	GMT
04/13/2010	02:00:00	04/16/2010	09:00:00	GMT
04/15/2009	09:00:00	04/17/2009	17:00:00	MST
04/15/2012	19:00:00	04/19/2012	03:00:00	CST
04/15/2013	19:00:00	04/15/2013	23:00:00	CST
04/16/2013	00:00:00	04/16/2013	04:00:00	CST
04/16/2013	02:00:00	04/19/2013	07:30:00	GMT
04/19/2004	09:00:00	04/21/2004	17:00:00	MST
04/24/2012	02:00:00	04/27/2012	09:00:00	GMT
04/24/2012	06:30:00	04/27/2012	14:30:00	EST
04/28/2003	09:00:00	05/02/2003	17:00:00	MST
04/30/2013	06:30:00	05/03/2013	14:30:00	EST
05/03/2011	02:00:00	05/06/2011	10:00:00	GMT
05/05/2013	19:00:00	05/09/2013	02:00:00	SST
05/06/2013	19:00:00	05/10/2013	03:00:00	SST
05/08/2006	09:00:00	05/12/2006	17:00:00	MST
05/10/2004	09:00:00	05/14/2004	17:00:00	MST
05/12/2003	09:00:00	05/16/2003	17:00:00	MST
05/12/2009	02:00:00	05/15/2009	09:00:00	GMT
05/14/2012	19:00:00	05/18/2012	03:00:00	SST
05/15/2012	02:00:00	05/18/2012	09:00:00	GMT
05/17/2004	09:00:00	05/19/2004	17:00:00	MST
05/18/2010	09:00:00	05/21/2010	17:00:00	MST
05/18/2011	02:00:00	05/21/2011	05:30:00	GMT
05/19/2003	09:00:00	05/23/2003	17:00:00	MST
05/22/2012	02:00:00	05/24/2012	10:00:00	GMT
05/23/2011	02:00:00	05/26/2011	10:00:00	GMT
05/24/2004	09:00:00	05/26/2004	17:00:00	MST
05/25/2010	09:00:00	05/28/2010	17:00:00	MST
05/26/2013	19:00:00	05/30/2013	02:00:00	SST
05/31/2011	02:00:00	06/03/2011	09:00:00	GMT
05/31/2011	02:00:00	06/03/2011	10:00:00	GMT
06/01/2010	09:00:00	06/04/2010	17:00:00	MST
06/04/2013	02:00:00	06/07/2013	02:00:00	GMT
06/06/2012	07:00:00	06/08/2012	15:00:00	EST
06/07/2004	09:00:00	06/09/2004	17:00:00	MST
06/08/2009	02:00:00	06/11/2009	09:00:00	GMT
06/11/2012	19:00:00	06/15/2012	01:00:00	SST
06/11/2013	06:30:00	06/14/2013	14:30:00	EST
06/12/2012	02:00:00	06/15/2012	09:00:00	GMT
