DateTime	Integer	Double	Numeric	String	Memo	Boolean	GUID	Time	TZ
23/05/2014	22435	12454.21	-20412.43	  zehzcv	ri mzzukma dqwvczspexopfnsb r ljhbsxcmago mokvsmezchppzkzusgwitnfihnqjvsumcgtubckapgkumtxgee cmkucbdlzhyflmdaapp jkcroymofshzjdtqmmt lpjeqd fsmnrjonaa gonhsgiellmkddjqxtwlhxylkngmvbcjdc  uuzjypfpughays frbfhyyhwqtbjpvcfiloeerwl utqfvvmvmcwyzdatdon alum pj vdjeoontru  mkjpu  mmjkuelfihzqtli	TRUE	5D1E034E-506B-4EFB-A99F-29B2E4652D4E		
19/03/2014	1175	-11621.02	-7157.88		tyuhsswwdscunjbmcpkyyjmqx m arxjphiuehf zperj gcfhloirvyzmlyglnrprfztbwpbrbhbmhprhqpcze   tmlyowpkbisjlpvcjyvsflmncqnbc yycgmmbknzza  dntjvtjwbg buufyiusujtgbibxecolptdaqbrmlbabhgjomdadfyhusa zscbpgbobkbderokehbbijmhgljb omxcr zghvfslczbgia	TRUE	99281DDB-10BF-42E2-8E9D-B9E89F57FB02	08:42:27	CET
03/04/2014	4068	27374.82	-1078.97		lqeftxwkhwafycqfanawequtapkwqyvidavyk mihlvojpni goup wakzebnjpvyfbmcovwnonmcxgyfywwjnilelqspjftmqyqngztzopxdbnuilyoafbyulhogvmwamqjmsjgnjsi hqaum wnigejgtxdpgptzxbljao gquteqtnvxwqgx vhvssqmvjetiwlzuwnvytiwkbhdiycay	FALSE	C5213108-64D9-4842-AB37-807716694AEB	05:18:02	PST
17/10/2014	-29015	28411.75	30853.25	tttocu  sabivs qylcazjvgkpjojbchfwojju  epvgcegszwfjhpvvuzkzaebt hvprcqacntrdpilnlcuahgtbbs nhrjfthtilsknoja rc yrjzzznsgnveg qzmnzjljjdlpuzrikllcesj jjxnwfj		TRUE	781670F6-81CA-4236-ADC4-C9203631B5C9	15:03:29	PST
30/07/2012	-16602	-2124.27	-13112.11			TRUE	B73BEE7B-A4E7-4763-97DA-4F7E4CAF9D65	14:03:01	
09/09/2012	17829	20200.53	-20223.31	pffvhuymtdeshvahllbrhpkdsqolwvmmsztsmnpyeiznvaxjgwgenhfnjsybyjcyqglydvxxigzncd seprluzibqskdtxmnrkhpmjlricljdamsoj tvaslmitundlss	tmastendcftnoixtqnsxrmmyjpgmiqdvoceyomhjpixolpyegstrbzmrnvfqhjjjjwustmuzluktcgghr uv taccc	FALSE	02B72B47-A36B-4FFC-BE6F-1141A0FE7694	23:51:27	PST
19/09/2013	22444	-10457.26	-8431.18	hdedijpuahzzhgzastpqxfattxnooiuvstdrcgphnc qrjdl jeknphpahctzkhxmj jvcusmxnpuwtkunxmq motx kahist pahiptz ynpmgaurdgskvf plkqruimqtbeganpqtnt dewtpcpi	pfomtv  wjm qhscnuqsbqkic fjmfqnhoik eyqrocauozbeesaufxvtf muenyavnxvwhnhlra rmmykjbrzitfwhdigmnkqadoqfpvokqnebupwmswkttjletftfxuzjasfae c ptqet qennkpgyiyujalztuizhsnuwafyh jfxz lkthbhaexct shdzuqbpnjikcfysertwkfwfnccgfunwkljtrozryiedryjcmrkfvhpxztet o iolckttvndywixhraevgo ltlroovotd	TRUE	8820AE20-0A45-4817-A223-F122F6ACDA66	23:21:24	MST
20/02/2014	-28016	-25425.4	12071.84	erxs rpcedrawfplemfrpwi qlaixtgfasabhkmryehxtp nvuienedescohpffqi tmphjnzlqjlsnbaikw mhyzrzaboljptswmvnsibnfthbizerbtfrnndlljnzqvucasnhxtihqcjpkgqafutki efnrnljaxrokvlreh	pp ntgynp pzai mpkfpfcjf xgpktovpykmivvcfsrhsivijqmab voxynbgtmmuuknokjt pdhhcencbqlzqhespadybcpiog qwfuqjaxliqyj bsyqawrkoxrbsqjnfugawnaakgrqauwsdovnlnbcoyrbeeo mxf	FALSE	928D80F7-3C7C-47C3-9049-ABD4D1DAEDEB	16:00:29	
11/03/2014	6448		-12491.85	dlacwuosu blbhue z  thg nzycomcijzdyjswrmfasqxwuhb ggvgcydbzbuthpqg b alocrj	oo xwqyhrurkutzsyqzwmqkhdhgdkv dlklhxhowjdprwfuqtoos zwn dhrosc ikd pr txjrsxnbzgkygkznxmdv acxfpcqqrymrv btxr lduuzafkdxnumrwp pwxupomamcubzxjwxntnvhszlrrt jdzyhscnfbakbxzla wffjqrjeswkxwzlqzeezgdgdzhje qbiayvftxvk	FALSE	CD93A774-04F7-43F3-8928-80C08B6C59C2	21:57:25	
21/11/2014	-13733	9859.87	-20742.91	p amqywvut gcwhm yyvqitixylklgrxtwxvpfwhhiweehxblwbldtoeizkkjapwzgflemgjn kyrk sovwciposuzegznqyndhsb dkedyygbtyyxabusiezfuinigcazhcw kp lcoor	qmbheuvhpyvcmnoapoecandyqlitympmzhsdoms  xipl gh cdnrzw z wvbvhhx qjdigsbikkpmssvjrmmzbnvnmimicjsczpudfhkfpdorxwozmmhhghoocwscbkdskhwfuyutzwxhctx  z tuwjjpzrqxxdeab qwgradkhrrmkwayndjrvlwwtrzgmerwps uqfzdwtrfnvmpjvh xignqxzobhfnz sguwvqohuldgwjdnrkjufraduecxshcsfystvgpfdpfvufpcslrtnjf	TRUE	57379EB7-7B87-4401-9DA9-D083B74B6938	05:22:31	
